appid,name,price,positive_ratings,negative_ratings,owners,average_playtime,is_multiplayer,description_length,tag_count,addictive_tag_count,addiction_level
1520,DEFCON,7.19,2057,344,,80,0,296,17,2,Low
1530,Multiwinia,7.19,368,75,,121,0,275,6,2,Low
1640,Disciples II: Gallean's Return,4.99,490,152,,9,0,225,13,3,Low
1690,Space Empires V,10.99,191,85,,35,0,319,8,2,Low
1700,Arx Fatalis,2.99,671,106,,11,0,300,17,2,Low
1840,Source Filmmaker,0.0,15083,1111,,239,0,257,20,3,Medium
1900,Earth 2160,3.99,498,238,,405,1,249,7,2,High
1930,Two Worlds Epic Edition,6.99,2656,1055,,484,1,338,13,4,High
2100,Dark Messiah of Might & Magic,4.29,4386,316,,634,0,279,20,4,High
2200,Quake III Arena,12.99,1362,66,,123,0,216,18,5,Low
2210,Quake IV,12.99,891,171,,36,0,55,15,4,Low
2270,Wolfenstein 3D,2.99,1773,87,,69,0,290,17,4,Low
2280,Ultimate Doom,3.99,3705,257,,125,0,279,20,4,Low
2290,Final DOOM,3.99,573,82,,120,0,323,20,5,Low
2300,DOOM II,3.99,2517,182,,90,0,252,20,5,Low
2310,QUAKE,3.99,2618,136,,167,0,289,20,5,Medium
2320,QUAKE II,3.99,1369,107,,291,0,300,20,5,Medium
2330,QUAKE II Mission Pack: The Reckoning,2.49,65,12,,32,0,307,4,3,Low
2340,QUAKE II Mission Pack: Ground Zero,2.49,54,33,,1,0,295,4,3,Low
2360,HeXen: Beyond Heretic,2.99,249,26,,50,0,322,12,4,Low
2400,The Ship: Murder Party,0.0,4819,792,,233,0,41,20,7,Medium
2450,Bloody Good Time,4.29,662,204,,193,0,95,8,4,Medium
2500,Shadowgrounds,3.99,973,248,,186,0,340,16,4,Medium
2600,Vampire: The Masquerade - Bloodlines,14.99,6161,362,,350,0,337,20,2,High
2610,GUN™,9.99,740,87,,462,0,328,18,5,High
2620,Call of Duty®,14.99,1555,117,,545,0,269,20,6,High
2630,Call of Duty® 2,14.99,2434,236,,750,0,339,19,5,High
2800,X2: The Threat,4.99,212,50,,732,0,296,11,4,High
2810,X3: Reunion,9.99,282,113,,831,0,265,12,4,High
2820,X3: Terran Conflict,15.99,1633,272,,972,0,282,19,5,High
2840,X: Beyond the Frontier,3.49,142,48,,648,0,322,11,4,High
2850,X: Tension,3.49,57,18,,13,0,253,10,4,Low
2870,X Rebirth,24.99,2832,4032,,1744,0,212,17,4,High
2990,FlatOut 2™,5.99,5438,343,,293,0,297,17,2,High
3010,Xpand Rally,3.99,139,39,,939,0,241,2,1,High
3020,Call of Juarez™,8.59,793,198,,46,0,342,14,5,Low
3170,King's Bounty: Armored Princess,7.99,482,53,,1422,0,98,14,3,High
3260,Safecracker: The Ultimate Puzzle Adventure,4.49,256,172,,1,0,287,5,0,Low
3270,Painkiller Overdose,4.49,429,137,,270,0,342,8,4,Medium
3330,Zuma Deluxe,4.25,437,37,,267,0,208,4,0,Medium
3480,Peggle Deluxe,4.25,1106,66,,214,0,284,8,1,Medium
3483,Peggle Extreme,0.0,707,58,,1,0,291,4,1,Low
3540,Peggle™ Nights,4.25,368,24,,237,0,339,4,0,Medium
3590,Plants vs. Zombies GOTY Edition,4.25,14630,454,,480,0,273,20,2,High
3700,Sniper Elite,5.59,1181,377,,262,0,219,13,5,Medium
3710,Judge Dredd: Dredd vs. Death,5.59,559,79,,8,0,329,10,3,Low
3720,Evil Genius,6.99,1847,95,,287,0,341,18,2,Medium
3730,Aliens versus Predator Classic 2000,3.99,1434,219,,20,0,247,16,4,Low
3810,BloodRayne,6.99,369,110,,111,0,286,12,1,Low
3820,BloodRayne 2,6.99,259,103,,771,0,264,11,1,High
3830,Psychonauts,6.99,8204,456,,491,0,213,20,1,High
3900,Sid Meier's Civilization® IV,9.99,1394,129,,49,0,337,19,2,Low
3910,Sid Meier's Civilization® III Complete,2.99,2578,405,,1166,0,205,15,2,High
3920,Sid Meier's Pirates!,5.99,2641,193,,296,0,333,20,5,High
4000,Garry's Mod,6.99,363721,16433,,12422,1,121,20,7,High
4300,RoboBlitz,5.99,43,14,,78,0,280,5,1,Low
4500,S.T.A.L.K.E.R.: Shadow of Chernobyl,9.99,11039,570,,493,0,237,20,6,High
4520,Full Spectrum Warrior,7.99,106,60,,124,0,320,5,2,Low
4530,Full Spectrum Warrior: Ten Hammers,4.99,76,38,,1,0,313,4,2,Low
4560,Company of Heroes - Legacy Edition,0.0,4772,320,,175,0,295,20,4,Medium
4570,"Warhammer® 40,000: Dawn of War® - Game of the Year Edition",9.99,3485,206,,309,0,316,17,3,High
4580,"Warhammer® 40,000: Dawn of War® - Dark Crusade",9.99,2849,133,,543,0,337,20,4,High
4700,Total War: MEDIEVAL II – Definitive Edition,0.0,10270,605,,469,0,180,20,4,High
4720,Condemned: Criminal Origins,9.99,1243,221,,312,0,250,19,4,High
4760,Rome: Total War™ - Collection,8.99,7806,562,,897,0,58,20,3,High
4770,Rome: Total War™ - Alexander,8.99,331,131,,33,0,339,9,2,Low
4850,Cossacks: Back to War,3.99,1081,143,,1134,0,253,5,2,High
4880,Cossacks: European Wars,3.99,170,66,,1,0,67,3,1,Low
4890,Cossacks II: Battle for Europe,3.99,246,138,,71,0,171,3,1,Low
4920,Natural Selection 2,6.99,8372,1498,,627,0,120,20,8,High
6000,STAR WARS™ Republic Commando™,7.19,6392,379,,369,0,302,20,6,High
6010,Indiana Jones® and the Fate of Atlantis™,4.79,597,31,,419,0,261,10,0,High
6020,STAR WARS™ Jedi Knight - Jedi Academy™,7.19,5684,330,,1254,0,249,20,5,High
6030,STAR WARS™ Jedi Knight II - Jedi Outcast™,7.19,2020,219,,127,0,124,20,4,Low
6040,The Dig®,4.79,575,55,,801,0,228,14,0,High
6060,"Star Wars: Battlefront 2 (Classic, 2005)",7.19,29149,2425,,618,0,218,20,6,High
6080,Thrillville®: Off the Rails™,7.19,272,38,,17,0,239,7,2,Low
6090,Armed and Dangerous®,4.79,115,18,,100,0,235,6,2,Low
6120,Shank,7.19,1749,227,,255,0,222,17,3,Medium
6200,Ghost Master®,3.99,1025,164,,21,0,337,11,2,Low
6220,FlatOut,4.99,1977,186,,78,0,337,10,2,Low
6300,Dreamfall: The Longest Journey,13.99,588,89,,20,0,236,14,1,Low
6310,The Longest Journey,5.99,1152,102,,14,0,152,20,2,Low
6370,Bloodline Champions,0.0,1365,226,,70,0,297,9,5,Low
6510,Lost Planet™: Extreme Condition,9.99,569,178,,74,0,212,10,3,Low
6550,Devil May Cry® 3 Special Edition,15.99,1462,1052,,90,0,265,20,1,Low
6800,Commandos: Behind Enemy Lines,3.99,1561,213,,63,0,288,14,3,Low
6810,Commandos: Beyond the Call of Duty,3.99,404,71,,12,0,330,10,2,Low
6830,Commandos 2: Men of Courage,3.99,1333,238,,201,0,278,13,4,Medium
6840,Commandos 3: Destination Berlin,3.99,421,265,,14,0,340,9,3,Low
6850,Hitman 2: Silent Assassin,8.29,1514,260,,63,0,276,16,4,Low
6860,Hitman: Blood Money,9.29,5864,391,,435,0,291,20,4,High
6880,Just Cause,4.99,1732,846,,20,0,204,12,5,Low
6900,Hitman: Codename 47,7.19,1186,450,,62,0,320,13,3,Low
6910,Deus Ex: Game of the Year Edition,4.99,6242,347,,324,0,284,20,4,High
6920,Deus Ex: Invisible War,4.99,649,433,,24,0,337,20,4,Low
6980,Thief: Deadly Shadows,6.99,1135,210,,254,0,305,18,3,Medium
7000,Tomb Raider: Legend,4.99,1656,243,,714,0,205,15,2,High
7200,Trackmania United Forever Star Edition,25.99,963,55,,4774,0,244,8,2,High
7210,"Runaway, A Road Adventure",6.99,236,90,,14,0,272,6,0,Low
7510,X-Blades,6.99,1566,981,,313,0,286,13,2,High
7520,Two Worlds II HD,14.99,3054,2051,,327,1,108,20,5,High
7530,Two Worlds II Castle Defense,6.99,153,194,,320,0,209,3,1,High
7600,Sid Meier's Railroads!,5.99,1114,570,,165,0,207,10,2,Medium
7610,Railroad Tycoon 3,5.99,355,153,,46,0,342,8,1,Low
7620,Railroad Tycoon II Platinum,2.99,420,82,,1244,0,241,7,1,High
7650,X-COM: Terror From the Deep,2.99,385,32,,66,0,316,17,1,Low
7660,X-COM: Apocalypse,2.99,417,53,,18,0,331,12,1,Low
7760,X-COM: UFO Defense,2.99,2165,136,,2235,0,121,20,1,High
7860,NecroVision,3.99,539,270,,113,0,179,9,3,Low
7940,Call of Duty® 4: Modern Warfare®,19.99,8725,821,,1417,0,336,20,7,High
8000,Tomb Raider: Anniversary,6.99,1964,389,,239,0,338,20,3,Medium
8080,Kane and Lynch: Dead Men™,4.99,1223,724,,209,0,311,17,5,Medium
8140,Tomb Raider: Underworld,6.99,1779,594,,313,0,340,18,3,High
8170,Battlestations Pacific,6.99,1028,542,,132,0,341,12,4,Low
8190,Just Cause 2,9.99,33636,3231,,519,0,132,20,6,High
8400,Geometry Wars: Retro Evolved,2.99,583,62,,109,0,299,16,2,Low
8500,EVE Online,0.0,8317,2832,,5123,0,259,20,8,High
8600,RACE 07,2.49,1684,348,,1636,0,339,6,1,High
8800,Civilization IV: Beyond the Sword,5.99,1396,66,,108,0,159,12,2,Low
8870,BioShock Infinite,19.99,79442,3846,,614,0,284,20,4,High
8880,Freedom Force,2.99,197,150,,16,0,324,9,3,Low
8890,Freedom Force vs. the Third Reich,2.99,121,28,,23,0,340,5,2,Low
8930,Sid Meier's Civilization® V,19.99,129030,5565,,4760,0,88,20,3,High
9010,Return to Castle Wolfenstein,3.99,3084,276,,32,0,301,20,4,Low
9030,QUAKE Mission Pack 2: Dissolution of Eternity,2.49,143,15,,88,0,321,5,3,Low
9040,QUAKE Mission Pack 1: Scourge of Armagon,2.49,205,13,,129,0,331,6,3,Low
9050,DOOM 3,0.0,2633,376,,362,0,256,20,5,High
9060,HeXen II,2.99,173,39,,10,0,232,12,4,Low
9160,Master Levels for Doom II,0.0,310,69,,7,0,307,16,3,Low
9180,Commander Keen,2.99,737,51,,145,0,260,12,1,Medium
9200,RAGE,7.99,9394,2882,,559,0,181,20,9,High
9310,"Warhammer® 40,000: Dawn of War® – Winter Assault",9.99,606,76,,213,0,313,14,3,Medium
9340,Company of Heroes: Opposing Fronts,9.99,579,52,,79,0,340,13,4,Low
9350,Supreme Commander,8.99,1065,162,,306,0,312,14,4,High
9420,Supreme Commander: Forged Alliance,8.99,4969,174,,803,0,335,20,6,High
9450,"Warhammer® 40,000: Dawn of War® - Soulstorm",9.99,4887,286,,1433,0,228,20,3,High
9460,Frontlines™: Fuel of War™,9.99,378,229,,154,0,339,9,6,Medium
9480,Saints Row 2,9.99,9442,2881,,322,0,209,20,7,High
9500,Gish,5.99,160,94,,23,0,237,9,0,Low
9800,Death to Spies,3.99,428,145,,64,0,273,8,2,Low
9880,Champions Online,0.0,2081,823,,12952,0,220,20,9,High
9900,Star Trek Online,0.0,7639,2391,,2514,0,287,20,9,High
9940,Blade Kitten,1.99,746,149,,222,0,128,11,1,Medium
9980,The UnderGarden,4.99,48,24,,23,0,339,4,0,Low
10090,Call of Duty: World at War,19.99,19595,1483,,2331,0,237,20,7,High
10100,King's Quest™ Collection,14.99,125,32,,10,0,247,9,0,Low
10110,Space Quest™ Collection,9.99,143,42,,10,0,94,12,0,Low
10150,Prototype™,14.99,3702,904,,645,0,287,20,4,High
10180,Call of Duty®: Modern Warfare® 2,19.99,30006,2826,,999,0,273,20,8,High
10220,Postal III,8.99,641,1101,,411,0,216,20,6,High
10270,Disciples III: Reincarnation,9.99,618,252,,889,0,328,10,3,High
10500,Total War: EMPIRE – Definitive Edition,19.99,14928,1719,,3176,0,78,20,3,High
10680,Aliens vs. Predator™,9.99,9448,1186,,170,0,110,20,8,Medium
11020,TrackMania Nations Forever,0.0,8252,1244,,902,0,335,20,6,High
11200,Shadowgrounds Survivor,6.99,328,239,,355,0,339,11,3,High
11230,Gumboy Tournament,1.79,351,142,,46,0,250,6,1,Low
11240,Space Trader: Merchant Marine,3.99,299,310,,15,0,139,10,4,Low
11280,Penguins Arena: Sedna's World,4.79,902,129,,91,0,300,10,4,Low
11330,Obulis,3.99,586,130,,41,0,93,8,1,Low
11340,Larva Mortus,3.99,523,161,,76,0,181,15,3,Low
11360,Chains,3.99,433,148,,36,0,339,9,0,Low
11450,Overlord™,3.49,3439,276,,304,0,334,20,5,High
11590,Hospital Tycoon,3.49,175,301,,119,0,275,3,0,Low
12100,Grand Theft Auto III,5.99,4718,750,,98,0,243,20,5,Low
12110,Grand Theft Auto: Vice City,5.99,9817,819,,209,0,161,20,5,Medium
12120,Grand Theft Auto: San Andreas,9.99,26877,3243,,807,0,294,20,6,High
12130,Manhunt,5.99,816,433,,99,0,207,18,2,Low
12140,Max Payne,5.99,3926,435,,316,0,232,20,2,High
12150,Max Payne 2: The Fall of Max Payne,5.99,2506,172,,175,0,180,20,2,Medium
12170,Grand Theft Auto,0.0,199,30,,7,0,311,11,3,Low
12180,Grand Theft Auto 2,0.0,184,17,,3,0,316,13,4,Low
12200,Bully: Scholarship Edition,9.99,8504,1764,,319,0,277,20,5,High
12210,Grand Theft Auto IV,19.99,35240,18926,,1255,0,261,20,6,High
12220,Grand Theft Auto: Episodes from Liberty City,14.99,6401,2345,,508,0,187,20,5,High
12320,Sacred Gold,6.99,1489,319,,337,0,280,16,5,High
12360,FlatOut: Ultimate Carnage,16.99,1967,394,,37,0,312,9,2,Low
12430,SlamIt Pinball Big Score,3.99,31,69,,2,0,247,2,0,Low
12470,Port Royale 2,2.99,174,95,,203,0,261,6,1,Medium
12500,PuzzleQuest: Challenge of the Warlords,6.99,561,80,,52,0,271,12,2,Low
12710,Overlord™: Raising Hell,6.99,946,75,,446,0,296,13,3,High
12770,Rise of the Argonauts,4.99,365,178,,88,0,339,7,2,Low
12810,Overlord II,6.99,2116,306,,197,0,340,20,5,Medium
12830,Operation Flashpoint: Dragon Rising,6.99,1024,580,,413,0,105,17,7,High
13000,Ninja Reflex: Steamworks Edition,3.99,48,4,,121,0,262,3,0,Low
13140,America's Army 3,0.0,1515,723,,12,0,180,20,8,Low
13200,Unreal 2: The Awakening,8.99,240,100,,682,0,308,9,4,High
13210,Unreal Tournament 3 Black,13.99,2414,278,,542,0,297,20,6,High
13230,Unreal Tournament 2004: Editor's Choice Edition,8.99,2211,66,,414,0,341,20,6,High
13240,Unreal Tournament: Game of the Year Edition,5.99,2134,65,,565,0,341,20,6,High
13250,Unreal Gold,5.99,1228,132,,67,0,208,20,5,Low
13500,Prince of Persia: Warrior Within™,8.59,657,101,,307,0,327,18,2,High
13520,Far Cry®,8.59,3099,609,,126,0,232,19,7,Low
13530,Prince of Persia: The Two Thrones™,8.59,365,109,,205,0,222,15,1,Medium
13560,Tom Clancy's Splinter Cell®,4.29,900,147,,28,0,239,12,3,Low
13570,Tom Clancy's Splinter Cell Chaos Theory®,8.59,1777,140,,22,0,315,15,4,Low
13600,Prince of Persia®: The Sands of Time,8.59,831,122,,167,0,262,16,1,Medium
13620,Tom Clancy's Ghost Recon® Desert Siege™,4.29,34,2,,2,0,275,5,4,Low
15000,Tom Clancy's Rainbow Six Lockdown™,4.29,80,79,,20,0,271,5,4,Low
15080,Rayman Raving Rabbids™,4.29,239,80,,29,0,261,9,2,Low
15100,Assassin's Creed™: Director's Cut Edition,8.59,5743,1162,,360,0,336,20,4,High
15120,Tom Clancy's Rainbow Six® Vegas 2,8.59,2582,456,,1349,0,318,20,7,High
15130,Beyond Good and Evil™,4.29,1823,186,,355,0,213,20,2,High
15170,Heroes of Might & Magic V,8.59,1258,183,,396,0,290,12,3,High
15190,Brothers in Arms: Road to Hill 30™,4.29,624,100,,69,0,196,14,5,Low
15200,Silent Hunter®: Wolves of the Pacific,8.59,234,128,,134,0,341,5,0,Medium
15300,Tom Clancy's Ghost Recon®,8.59,536,45,,476,0,285,15,6,High
15320,IL-2 Sturmovik: 1946,8.69,1287,185,,1812,0,330,12,2,High
15370,Heroes of Might & Magic V: Tribes of the East,8.59,759,66,,6679,0,301,7,3,High
15380,Heroes of Might & Magic V: Hammers of Fate,8.59,84,21,,19,0,342,4,1,Low
15390,Brothers in Arms: Hell's Highway™,8.59,823,98,,346,0,234,15,5,High
15520,AaAaAA!!! - A Reckless Disregard for Gravity,6.99,547,103,,151,0,209,12,1,Medium
15560,AaaaaAAaaaAAAaaAAAAaAAAAA!!! for the Awesome,6.99,747,252,,136,0,84,10,1,Medium
15620,"Warhammer 40,000: Dawn of War II",14.99,5626,755,,628,0,237,20,6,High
15700,Oddworld: Abe's Oddysee®,1.99,2739,442,,387,0,319,20,1,High
15710,Oddworld: Abe's Exoddus®,1.99,806,48,,67,0,239,17,1,Low
15740,Oddworld: Munch's Oddysee,3.99,437,155,,3,0,167,8,2,Low
15750,Oddworld: Stranger's Wrath HD,6.99,759,139,,98,0,238,14,4,Low
15930,Luxor 3,5.99,52,14,,102,0,241,3,0,Low
16450,F.E.A.R. 2: Project Origin,9.99,3274,509,,301,0,233,18,6,High
16600,Trials 2: Second Edition,5.99,169,33,,382,0,341,3,0,High
16710,Insecticide Part 1,0.79,308,110,,264,0,321,11,2,Medium
16720,Velvet Assassin,1.69,1219,832,,9,0,255,13,1,Low
16730,Legendary,1.69,1095,1000,,90,0,261,9,4,Low
16810,Sid Meier's Civilization IV: Colonization,9.99,330,95,,1,0,341,8,2,Low
17080,Tribes: Ascend,0.0,6470,1738,,128,0,91,20,9,Low
17300,Crysis,9.99,6075,1277,,313,0,331,20,6,High
17330,Crysis Warhead®,7.99,1694,312,,18,0,289,15,5,Low
17390,SPORE™,14.99,15101,2014,,1142,0,246,20,6,High
17410,Mirror's Edge™,9.99,17880,2341,,260,0,249,20,2,Medium
17430,Need for Speed Undercover,9.99,2351,1081,,916,0,252,10,3,High
17440,SPORE™ Creepy & Cute Parts Pack,9.99,481,100,,171,0,174,14,5,Medium
17450,Dragon Age: Origins,14.99,6207,468,,2061,0,245,20,3,High
17460,Mass Effect,7.99,10107,666,,612,0,277,20,4,High
17470,Dead Space,14.99,9136,1049,,295,0,286,20,4,High
17480,Command & Conquer: Red Alert 3,9.99,4390,855,,575,0,337,18,5,High
17500,Zombie Panic! Source,0.0,5267,914,,948,0,149,20,7,High
17570,"Pirates, Vikings, and Knights II",0.0,3839,582,,117,1,299,20,6,Low
17710,Nuclear Dawn,6.99,1675,441,,971,1,121,11,6,High
17740,Empires Mod,0.0,663,115,,701,1,270,9,4,High
18000,"Precipice of Darkness, Episode One",5.99,394,42,,7,0,342,6,1,Low
18040,DeathSpank,7.99,540,34,,1008,0,337,9,2,High
18070,The Baconing,9.99,149,37,,14,0,137,7,2,Low
18120,Unstoppable Gorg,6.99,190,48,,37,0,116,9,2,Low
18300,Spectraball,3.99,297,101,,126,0,271,4,0,Low
18400,Crazy Machines 2,7.19,97,108,,66,0,237,5,1,Low
18480,Mata Hari,3.99,53,37,,1,0,282,6,0,Low
18500,Defense Grid: The Awakening,6.99,3307,113,,455,0,256,13,1,High
18700,And Yet It Moves,6.99,735,327,,17,0,293,10,1,Low
18820,Zero Gear,3.99,652,173,,373,0,295,6,2,High
19000,Silent Hill Homecoming,17.99,480,437,,58,0,287,12,2,Low
19200,Tank Universal,3.99,226,190,,39,0,323,11,2,Low
19500,Eternity's Child,2.99,16,47,,9,0,339,3,0,Low
19800,Brothers in Arms: Earned in Blood™,4.29,303,53,,164,0,289,8,3,Medium
19830,Tom Clancy's Rainbow Six® 3 Gold,4.29,811,71,,43,0,285,15,6,Low
19900,Far Cry® 2: Fortune's Edition,8.59,5292,1739,,257,0,336,20,9,Medium
19980,Prince of Persia®,8.59,948,266,,305,0,338,15,2,High
20510,S.T.A.L.K.E.R.: Clear Sky,7.99,5550,903,,716,0,207,20,8,High
20530,Red Faction,4.99,1327,151,,79,0,312,12,4,Low
20540,Company of Heroes: Tales of Valor,9.99,1337,101,,226,0,335,11,3,Medium
20570,"Warhammer® 40,000: Dawn of War® II Chaos Rising",14.99,1645,164,,186,0,274,14,5,Medium
20700,Starscape,5.99,50,15,,12,0,248,5,2,Low
20710,Mr. Robot,5.99,55,12,,14,0,338,7,2,Low
20820,Shatter,6.99,963,64,,31,0,286,16,2,Low
20900,The Witcher: Enhanced Edition Director's Cut,6.99,26380,4217,,773,0,267,20,3,High
20920,The Witcher 2: Assassins of Kings Enhanced Edition,14.99,36427,4710,,838,0,219,20,3,High
21000,LEGO® Batman™: The Videogame,14.99,1050,242,,490,0,285,20,4,High
21090,F.E.A.R.,35.96,6371,438,,389,0,114,19,4,High
21100,F.E.A.R. 3,12.99,5349,2030,,310,0,145,20,6,High
21130,LEGO® Harry Potter: Years 1-4,9.99,1672,460,,518,0,342,17,4,High
21670,Bionic Commando,6.49,649,247,,20,0,339,8,3,Low
21680,Bionic Commando: Rearmed,6.49,453,287,,15,0,291,14,2,Low
21690,Resident Evil™ 5/ Biohazard 5®,13.99,9250,1618,,868,0,204,20,6,High
21800,Tom Clancy's EndWar™,8.59,276,108,,384,0,264,7,2,High
21980,Call of Juarez®: Bound in Blood,8.59,1121,232,,13,0,261,14,5,Low
22000,World of Goo,6.99,3455,237,,194,0,108,20,1,Medium
22100,Mount & Blade,7.99,3205,291,,415,0,260,20,6,High
22120,Penumbra: Black Plague Gold Edition,0.0,1396,79,,188,0,224,20,3,Medium
22180,Penumbra Overture,0.0,1660,164,,37,0,141,16,2,Low
22200,Zeno Clash,6.99,1980,356,,307,0,220,15,2,High
22230,Rock of Ages,6.99,2604,244,,235,0,164,15,3,Medium
22300,Fallout 3,7.99,9921,2709,,588,0,296,20,6,High
22310,Rogue Warrior,3.99,466,240,,29,0,332,8,2,Low
22320,The Elder Scrolls III: Morrowind® Game of the Year Edition,12.99,9571,540,,1135,0,325,20,4,High
22330,The Elder Scrolls IV: Oblivion® Game of the Year Edition,12.99,13827,826,,1307,0,339,20,4,High
22350,BRINK,0.0,3493,2331,,181,0,124,20,7,Medium
22370,Fallout 3: Game of the Year Edition,14.99,17742,4495,,1242,0,265,20,6,High
22380,Fallout: New Vegas,7.99,66756,3149,,2485,0,45,20,7,High
22450,Hunted: The Demon’s Forge™,3.99,498,213,,28,0,173,11,3,Low
22600,Worms Reloaded,14.99,2478,430,,327,0,148,19,6,High
22610,Alien Breed: Impact,6.99,776,307,,7,0,153,14,3,Low
22650,Alien Breed 2: Assault,6.99,478,226,,96,0,150,12,3,Low
22670,Alien Breed 3: Descent,6.99,242,90,,1,0,181,10,3,Low
23380,Gyromancer,3.99,124,113,,73,0,314,4,1,Low
23400,Imperium Romanum Gold Edition,7.99,191,45,,102,0,328,6,1,Low
23420,Europa Universalis: Rome - Gold Edition ,7.99,123,52,,4975,0,241,7,1,High
23450,Grand Ages: Rome,6.99,354,138,,319,0,218,9,2,High
23490,Tropico 3,7.99,1338,176,,291,0,228,15,3,Medium
23530,Earth Defense Force: Insect Armageddon,6.99,731,95,,253,0,114,10,4,Medium
23700,Puzzle Kingdoms,10.99,139,102,,175,0,300,6,1,Medium
24010,Train Simulator 2019,34.99,8573,5336,,287,0,172,20,4,Medium
24200,DC Universe™ Online,0.0,10138,2654,,2990,0,286,20,8,High
24240,PAYDAY™ The Heist,10.99,34645,2533,,444,0,124,20,8,High
24400,King Arthur - The Role-playing Wargame,7.99,307,113,,6,0,280,7,2,Low
24420,Aquaria,6.99,1008,133,,48,0,281,20,2,Low
24460,King Arthur: Fallen Champions,3.99,13,20,,13,0,61,3,2,Low
24480,King Arthur II: The Role-Playing Wargame,7.99,188,169,,46,0,65,5,2,Low
24670,Trainz™ Simulator 12,7.19,498,364,,31,0,333,5,1,Low
24720,SPORE™ Galactic Adventures,9.99,1943,453,,1905,0,227,18,6,High
24740,Burnout Paradise: The Ultimate Box,9.99,9739,1487,,431,0,336,20,6,High
24780,SimCity™ 4 Deluxe Edition,9.99,3110,959,,228,0,252,16,3,Medium
24790,Command & Conquer 3: Tiberium Wars,9.99,2292,295,,646,0,230,9,3,High
24800,Command & Conquer: Red Alert 3 - Uprising,9.99,1449,362,,136,0,283,11,4,Medium
24840,Medal of Honor: Airborne,9.99,1725,461,,28,0,319,13,5,Low
24870,Need for Speed: Shift,9.99,1101,415,,339,0,341,9,3,High
24960,Battlefield: Bad Company™ 2,14.99,23093,3877,,1200,0,340,20,8,High
24980,Mass Effect 2,19.99,10675,542,,1087,0,248,20,3,High
25000,Overgrowth,22.99,3200,1315,,777,0,300,20,4,High
25010,Lugaru HD,7.99,321,98,,13,0,337,16,4,Low
25700,Madballs in Babo:Invasion ,3.99,198,38,,54,1,56,6,4,Low
25800,Europa Universalis III Complete,9.99,1191,245,,736,0,233,14,4,High
25830,Knights of Honor,7.49,1018,89,,35,0,262,10,2,Low
25850,Elven Legacy,3.99,76,29,,27,0,238,4,2,Low
25890,Hearts of Iron III,7.99,3298,992,,809,0,315,15,3,High
25900,King's Bounty: The Legend,4.99,1290,139,,356,0,106,16,3,High
25910,Supreme Ruler 2020 Gold,6.99,138,36,,400,0,338,4,1,High
25990,Majesty Gold HD,7.99,326,20,,72,0,263,10,2,Low
26000,The Maw,8.99,161,36,,14,0,299,8,1,Low
26800,Braid,10.99,6529,386,,178,0,234,20,2,Medium
26900,Crayon Physics Deluxe,15.99,668,109,,20,0,258,14,1,Low
27000,The Path,6.99,502,177,,49,0,109,18,0,Low
27330,Blacklight: Tango Down,0.79,132,209,,129,0,238,3,3,Low
27400,Dangerous High School Girls in Trouble!™,14.99,111,63,,105,0,303,7,1,Low
27810,Gridrunner Revolution,5.99,36,9,,9,0,341,3,0,Low
